#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
494        883720815794949      5.697              0.002              0.0                compact            zams               2.093              0.002              0.0                compact            zams               19.6               0.0161             end                events         107940876957667  
495        638535912961771      5.762              0.002              0.0                compact            zams               2.085              0.002              0.0                compact            zams               77.2               0.6                end                events         93787930843191   
496        537460221788023      11.265             0.002              0.0                compact            zams               4.891              0.002              0.0                compact            zams               8.95e+03           0.654              end                events         308901245546461  
497        530988192572821      9.745              0.002              0.0                compact            zams               4.639              0.002              0.0                compact            zams               18.1               0.0307             end                events         372405951710013  
498        444326922649896      5.129              0.002              0.0                compact            zams               3.172              0.002              0.0                compact            zams               219                0.444              end                events         401015352848293  
499        390196965025575      5.988              0.002              0.0                compact            zams               5.934              0.002              0.0                compact            zams               38.5               0.249              end                events         85827207138171   
500        289337860027105      13.859             0.002              0.0                compact            zams               2.965              0.002              0.0                compact            zams               112                0.598              end                events         771874629069458  
502        760723045506930      6.879              0.002              0.0                compact            zams               2.643              0.002              0.0                compact            zams               344                0.323              end                events         356735202031081  
503        628536383919476      11.514             0.002              0.0                compact            zams               11.247             0.002              0.0                compact            zams               522                0.026              end                events         21729902330841   
504        499640830318054      22.604             0.002              0.0                compact            zams               21.299             0.002              0.0                compact            zams               24.4               0.02               end                events         267677069633917  
505        275686359248186      5.986              0.002              0.0                compact            zams               4.301              0.002              0.0                compact            zams               31                 0.497              end                events         369316161684960  
506        264298191679943      38.570             0.002              0.0                compact            zams               33.935             0.002              0.0                compact            zams               28.7               0.0194             end                events         317104972769378  
507        595218042377953      24.835             0.002              0.0                compact            zams               21.278             0.002              0.0                compact            zams               3.04e+03           0.00827            end                events         181504567037542  
508        156864121016689      66.086             0.002              0.0                compact            zams               33.184             0.002              0.0                compact            zams               4.57e+04           0.415              end                events         835713617288232  
509        607130799034749      16.323             0.002              0.0                compact            zams               16.213             0.002              0.0                compact            zams               147                0.203              end                events         46035297691518   
510        432997039060144      40.225             0.002              0.0                compact            zams               39.072             0.002              0.0                compact            zams               1.39e+04           0.0218             end                events         458579036573741  
511        744452101293288      6.492              0.002              0.0                compact            zams               6.054              0.002              0.0                compact            zams               111                0.713              end                events         159198436379892  
513        337078126239096      30.636             0.002              0.0                compact            zams               19.214             0.002              0.0                compact            zams               922                0.819              end                events         191039361929867  
514        101081591140495      7.354              0.002              0.0                compact            zams               5.592              0.002              0.0                compact            zams               154                0.699              end                events         845511687636369  
515        522902152506299      6.127              0.002              0.0                compact            zams               2.219              0.002              0.0                compact            zams               14.9               0.00964            end                events         947313605661275  
516        799940827985695      5.449              0.002              0.0                compact            zams               3.673              0.002              0.0                compact            zams               75.3               0.311              end                events         172416346238338  
517        687789290059114      20.367             0.002              0.0                compact            zams               12.935             0.002              0.0                compact            zams               761                0.88               end                events         995776722583296  
518        357715831809091      5.073              0.002              0.0                compact            zams               2.430              0.002              0.0                compact            zams               159                0.179              end                events         266200994934983  
519        925334290287120      16.591             0.002              0.0                compact            zams               15.909             0.002              0.0                compact            zams               902                0.0966             end                events         164748281209675  
520        531048824103699      9.521              0.002              0.0                compact            zams               3.136              0.002              0.0                compact            zams               24.1               0.0535             end                events         78588218136308   
521        143958798961518      5.659              0.002              0.0                compact            zams               3.657              0.002              0.0                compact            zams               8.28e+03           0.0562             end                events         814934007045788  
522        305012274614641      10.813             0.002              0.0                compact            zams               4.552              0.002              0.0                compact            zams               437                0.236              end                events         643742462775073  
523        106991547854365      6.996              0.002              0.0                compact            zams               5.845              0.002              0.0                compact            zams               16.8               0.00885            end                events         186714788932247  
