#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
628        802568304283055      12.372             0.002              0.0                compact            zams               3.356              0.002              0.0                compact            zams               1.51e+03           0.86               end                events         565102968788506  
877        248359992401444      12.645             0.002              0.0                compact            zams               5.636              0.002              0.0                compact            zams               30.5               0.182              end                events         770378200415247  
1711       786402035691490      12.461             0.002              0.0                compact            zams               4.872              0.002              0.0                compact            zams               21.3               0.0742             end                events         767253703795013  
3545       276488408455868      12.456             0.002              0.0                compact            zams               4.225              0.002              0.0                compact            zams               19.4               0.00129            end                events         503384405672807  
3618       987136661307196      13.038             0.002              0.0                compact            zams               5.374              0.002              0.0                compact            zams               24                 0.192              end                events         970952250767117  
3756       609771043015696      18.184             0.002              0.0                compact            zams               11.763             0.002              0.0                compact            zams               342                0.281              end                events         595657395027958  
4716       420554693065813      12.015             0.002              0.0                compact            zams               9.484              0.002              0.0                compact            zams               469                0.156              end                events         456178543591284  
4746       816950357337130      12.067             0.002              0.0                compact            zams               5.946              0.002              0.0                compact            zams               27.6               0.236              end                events         735245461436442  
4936       377667794985035      12.017             0.002              0.0                compact            zams               6.513              0.002              0.0                compact            zams               23                 0.0195             end                events         602717642724477  
6507       666973849802545      17.241             0.002              0.0                compact            zams               6.385              0.002              0.0                compact            zams               87.6               0.435              end                events         324724117205229  
6688       757576947208021      12.197             0.002              0.0                compact            zams               6.532              0.002              0.0                compact            zams               19.7               0.091              end                events         952196115654856  
6694       866541779736924      12.682             0.002              0.0                compact            zams               3.309              0.002              0.0                compact            zams               24                 0.222              end                events         519495493830996  
7563       891458874514464      12.379             0.002              0.0                compact            zams               7.499              0.002              0.0                compact            zams               28.2               0.0253             end                events         693692581428377  
9801       656991358102079      12.247             0.002              0.0                compact            zams               3.239              0.002              0.0                compact            zams               78.7               0.0937             end                events         174852778440200  
