#ID        name                 Mass               Z                  spin               SN                 Tstart             Tend               Dtout              Seed             
1          784214228281221      84.345             0.002              0.0                delayed            zams               end                events         456580069938435  
2          830030094936145      12.389             0.002              0.0                delayed            zams               end                events         457876620895701  
3          596705885138831      11.587             0.002              0.0                delayed            zams               end                events         875215668496179  
4          788094468712257      12.144             0.002              0.0                delayed            zams               end                events         875731099111478  
5          733106571979462      12.954             0.002              0.0                delayed            zams               end                events         900032166593333  
6          428380543190081      33.389             0.002              0.0                delayed            zams               end                events         394824914609693  
7          910161460841525      35.045             0.002              0.0                delayed            zams               end                events         637461975846902  
8          733176024133859      11.057             0.002              0.0                delayed            zams               end                events         578094893292398  
9          839447887149234      13.740             0.002              0.0                delayed            zams               end                events         306522502060467  
10         958144812943138      16.589             0.002              0.0                delayed            zams               end                events         889485338737139  
11         521716168949070      17.307             0.002              0.0                delayed            zams               end                events         818141170887167  
12         353954827856596      10.543             0.002              0.0                delayed            zams               end                events         294967581505788  
13         228238260468667      45.376             0.002              0.0                delayed            zams               end                events         244344880537990  
14         507777513162115      29.010             0.002              0.0                delayed            zams               end                events         37232841162155   
15         161627527901620      107.128            0.002              0.0                delayed            zams               end                events         650068117413664  
16         860477181517611      37.068             0.002              0.0                delayed            zams               end                events         862016889914709  
17         667392308313342      10.638             0.002              0.0                delayed            zams               end                events         430542274322242  
18         950484490284564      28.980             0.002              0.0                delayed            zams               end                events         984569801415613  
19         674773454249175      48.740             0.002              0.0                delayed            zams               end                events         546310686632036  
20         553977319362690      17.137             0.002              0.0                delayed            zams               end                events         651079341232790  
21         121416280996257      32.918             0.002              0.0                delayed            zams               end                events         907664480558453  
22         353999140258045      14.805             0.002              0.0                delayed            zams               end                events         820716545626598  
23         243161098274546      22.594             0.002              0.0                delayed            zams               end                events         235255953337038  
24         487198853082377      12.610             0.002              0.0                delayed            zams               end                events         746511212367444  
25         114016399787713      15.256             0.002              0.0                delayed            zams               end                events         510558313864218  
26         983490364317145      15.249             0.002              0.0                delayed            zams               end                events         200413552587694  
27         189659863949002      31.446             0.002              0.0                delayed            zams               end                events         414598387681491  
28         244699414638715      94.128             0.002              0.0                delayed            zams               end                events         491150093543755  
29         947390659726747      12.345             0.002              0.0                delayed            zams               end                events         472811139711502  
30         245514910635981      23.208             0.002              0.0                delayed            zams               end                events         303992850350325  
31         486723082034821      17.480             0.002              0.0                delayed            zams               end                events         575963770969687  
32         147908725331219      15.270             0.002              0.0                delayed            zams               end                events         761892106611111  
33         591380560904219      20.246             0.002              0.0                delayed            zams               end                events         705328615814608  
34         642001302423110      12.015             0.002              0.0                delayed            zams               end                events         340875987755411  
35         474552398191084      11.699             0.002              0.0                delayed            zams               end                events         239881098965921  
36         626528649088123      61.786             0.002              0.0                delayed            zams               end                events         499259939831057  
37         999821817551521      15.850             0.002              0.0                delayed            zams               end                events         158270327165081  
38         457175442977270      26.892             0.002              0.0                delayed            zams               end                events         172549195721250  
39         496525143815490      11.150             0.002              0.0                delayed            zams               end                events         896293710950144  
40         932886470831454      35.838             0.002              0.0                delayed            zams               end                events         240520299302486  
41         448173058883072      70.645             0.002              0.0                delayed            zams               end                events         566378527742150  
42         847695769135703      24.407             0.002              0.0                delayed            zams               end                events         931992644064857  
43         922420990398765      16.524             0.002              0.0                delayed            zams               end                events         542763420012624  
44         109226783451991      12.372             0.002              0.0                delayed            zams               end                events         267257080819236  
45         291599186365769      10.438             0.002              0.0                delayed            zams               end                events         707248922531516  
46         701453909088394      24.344             0.002              0.0                delayed            zams               end                events         964173297484775  
47         414727785419136      80.865             0.002              0.0                delayed            zams               end                events         463609344418930  
48         570529602847133      63.693             0.002              0.0                delayed            zams               end                events         490982958277733  
49         115110756100585      43.190             0.002              0.0                delayed            zams               end                events         441014599410495  
50         510018686748502      63.770             0.002              0.0                delayed            zams               end                events         125155150733446  
51         337647060256874      14.001             0.002              0.0                delayed            zams               end                events         100676494211328  
52         490335061091621      11.943             0.002              0.0                delayed            zams               end                events         967598839621069  
53         509745925945158      12.376             0.002              0.0                delayed            zams               end                events         930096251184493  
