#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
0          363516260182510      22.304             0.002              0.0                delayed            zams               7.562              0.002              0.0                delayed            zams               417                0.885              end                events         163742026850873  
1          746989987398008      5.221              0.002              0.0                delayed            zams               2.197              0.002              0.0                delayed            zams               30.2               0.337              end                events         284079963344243  
3          671011324521915      79.250             0.002              0.0                delayed            zams               30.462             0.002              0.0                delayed            zams               2.03e+04           0.131              end                events         27023134356979   
4          518078504160467      11.432             0.002              0.0                delayed            zams               6.044              0.002              0.0                delayed            zams               21.7               0.104              end                events         563003293134502  
5          354845191197335      13.071             0.002              0.0                delayed            zams               10.040             0.002              0.0                delayed            zams               24.2               0.129              end                events         60872862825771   
6          991337810875643      8.931              0.002              0.0                delayed            zams               4.882              0.002              0.0                delayed            zams               19.6               0.0185             end                events         758936915681161  
7          781191863760500      5.284              0.002              0.0                delayed            zams               3.890              0.002              0.0                delayed            zams               1.63e+04           0.307              end                events         18984101173530   
8          540338649462790      62.292             0.002              0.0                delayed            zams               50.300             0.002              0.0                delayed            zams               1.05e+04           0.00765            end                events         788230368330255  
9          684132890731885      5.669              0.002              0.0                delayed            zams               3.684              0.002              0.0                delayed            zams               7.72e+03           0.646              end                events         975742793506053  
10         308340542395279      23.476             0.002              0.0                delayed            zams               6.416              0.002              0.0                delayed            zams               194                0.803              end                events         317940719224353  
11         131098821292715      7.243              0.002              0.0                delayed            zams               2.347              0.002              0.0                delayed            zams               43.3               0.472              end                events         796853162124998  
12         438312587657291      17.565             0.002              0.0                delayed            zams               2.329              0.002              0.0                delayed            zams               27.5               0.00477            end                events         686019083952597  
14         570937113570425      8.162              0.002              0.0                delayed            zams               3.409              0.002              0.0                delayed            zams               4.36e+04           0.514              end                events         210304160725454  
15         421417453096109      14.576             0.002              0.0                delayed            zams               9.325              0.002              0.0                delayed            zams               36.6               0.0248             end                events         477948063803977  
17         464309231948951      9.470              0.002              0.0                delayed            zams               3.167              0.002              0.0                delayed            zams               7.02e+03           0.373              end                events         24107526872848   
18         134962873235960      8.534              0.002              0.0                delayed            zams               8.510              0.002              0.0                delayed            zams               9.27e+03           0.0467             end                events         427557163217627  
19         525628023530574      7.212              0.002              0.0                delayed            zams               3.510              0.002              0.0                delayed            zams               2.2e+03            0.438              end                events         601547192244094  
21         519214812370943      15.363             0.002              0.0                delayed            zams               5.414              0.002              0.0                delayed            zams               63.9               0.00106            end                events         668160529156508  
22         779806793854582      22.564             0.002              0.0                delayed            zams               15.265             0.002              0.0                delayed            zams               55.1               0.135              end                events         746307412153507  
24         191775557944318      6.008              0.002              0.0                delayed            zams               3.145              0.002              0.0                delayed            zams               3.03e+04           0.0199             end                events         477102499958349  
25         646732839475471      10.786             0.002              0.0                delayed            zams               10.662             0.002              0.0                delayed            zams               18.7               0.00172            end                events         149243278175866  
26         107748097915445      14.780             0.002              0.0                delayed            zams               5.526              0.002              0.0                delayed            zams               268                0.251              end                events         579960755691537  
27         865279568705422      5.571              0.002              0.0                delayed            zams               2.303              0.002              0.0                delayed            zams               1.05e+04           0.025              end                events         821698768467674  
