#ID        name                 Mass               Z                  spin               SN                 Tstart             Tend               Dtout              Seed             
1          680857731733527      84.345             0.002              0.0                rapid              zams               end                events         583102992676059  
2          702345251954893      12.389             0.002              0.0                rapid              zams               end                events         141473315466397  
3          547219360685988      11.587             0.002              0.0                rapid              zams               end                events         861296386298959  
4          582933420678985      12.144             0.002              0.0                rapid              zams               end                events         135394209391207  
5          561759511325037      12.954             0.002              0.0                rapid              zams               end                events         136358774683849  
6          273054032188358      33.389             0.002              0.0                rapid              zams               end                events         17279581886949   
7          641031921019428      35.045             0.002              0.0                rapid              zams               end                events         569200389642947  
8          135846374139432      11.057             0.002              0.0                rapid              zams               end                events         627394524887000  
9          198379703422698      13.740             0.002              0.0                rapid              zams               end                events         233124080972440  
10         408638645659025      16.589             0.002              0.0                rapid              zams               end                events         532308092357097  
11         355528572037811      17.307             0.002              0.0                rapid              zams               end                events         88000169767860   
12         584392444931040      10.543             0.002              0.0                rapid              zams               end                events         381320497580711  
13         839912926909574      45.376             0.002              0.0                rapid              zams               end                events         680313680586174  
14         787266929713931      29.010             0.002              0.0                rapid              zams               end                events         889207589664991  
15         375511648804083      107.128            0.002              0.0                rapid              zams               end                events         150755113819118  
16         805488930016034      37.068             0.002              0.0                rapid              zams               end                events         747610044959292  
17         316727014251409      10.638             0.002              0.0                rapid              zams               end                events         729069984755529  
18         379246345970951      28.980             0.002              0.0                rapid              zams               end                events         963458487122104  
19         610572170713209      48.740             0.002              0.0                rapid              zams               end                events         491340509670534  
20         455693019137121      17.137             0.002              0.0                rapid              zams               end                events         82616997475596   
21         609765488480846      32.918             0.002              0.0                rapid              zams               end                events         533516299103534  
22         935364736428483      14.805             0.002              0.0                rapid              zams               end                events         804251573314779  
23         687947007734176      22.594             0.002              0.0                rapid              zams               end                events         241748633152197  
24         970318337670846      12.610             0.002              0.0                rapid              zams               end                events         446215070803639  
25         543901130286768      15.256             0.002              0.0                rapid              zams               end                events         886290306206352  
26         567025296225042      15.249             0.002              0.0                rapid              zams               end                events         170042864879792  
27         550193368868484      31.446             0.002              0.0                rapid              zams               end                events         978362009825114  
28         842055254352303      94.128             0.002              0.0                rapid              zams               end                events         845226261017308  
29         696124661849624      12.345             0.002              0.0                rapid              zams               end                events         928384613333179  
30         225345355253424      23.208             0.002              0.0                rapid              zams               end                events         455258210004681  
31         800773305227364      17.480             0.002              0.0                rapid              zams               end                events         113210534370509  
32         248165229751462      15.270             0.002              0.0                rapid              zams               end                events         999145260858879  
33         301405066041725      20.246             0.002              0.0                rapid              zams               end                events         773474012231112  
34         693143622642407      12.015             0.002              0.0                rapid              zams               end                events         79717261738168   
35         598004510025814      11.699             0.002              0.0                rapid              zams               end                events         758597561685133  
36         493345542542234      61.786             0.002              0.0                rapid              zams               end                events         297793034608484  
37         418401920413080      15.850             0.002              0.0                rapid              zams               end                events         794468767503521  
38         734866880960973      26.892             0.002              0.0                rapid              zams               end                events         781648655438001  
39         206205153464086      11.150             0.002              0.0                rapid              zams               end                events         101431808794238  
40         971328682632989      35.838             0.002              0.0                rapid              zams               end                events         293784366988102  
41         318054728011357      70.645             0.002              0.0                rapid              zams               end                events         704709168318454  
42         439654313682624      24.407             0.002              0.0                rapid              zams               end                events         126410059420457  
43         276203087797171      16.524             0.002              0.0                rapid              zams               end                events         904572228195787  
44         202388113839069      12.372             0.002              0.0                rapid              zams               end                events         709054643165843  
45         179736910785683      10.438             0.002              0.0                rapid              zams               end                events         247132422774718  
46         351725449715545      24.344             0.002              0.0                rapid              zams               end                events         453580098681723  
47         586152217623368      80.865             0.002              0.0                rapid              zams               end                events         261666241444474  
48         554524572425896      63.693             0.002              0.0                rapid              zams               end                events         418217228524106  
49         867023850708981      43.190             0.002              0.0                rapid              zams               end                events         509308502586651  
50         886992550693457      63.770             0.002              0.0                rapid              zams               end                events         840900507194633  
51         388724453022269      14.001             0.002              0.0                rapid              zams               end                events         824528195629751  
52         541557222883044      11.943             0.002              0.0                rapid              zams               end                events         911485724920614  
53         107336886710482      12.376             0.002              0.0                rapid              zams               end                events         747816759756353  
54         473068994578808      17.233             0.002              0.0                rapid              zams               end                events         355089016897648  
55         486422853939548      10.943             0.002              0.0                rapid              zams               end                events         640552068857228  
56         132180317823199      19.095             0.002              0.0                rapid              zams               end                events         425441592857466  
57         407857240532605      94.736             0.002              0.0                rapid              zams               end                events         411916527824883  
58         802706692563705      10.226             0.002              0.0                rapid              zams               end                events         27165945404213   
59         771389998149274      66.950             0.002              0.0                rapid              zams               end                events         403358615532844  
60         126085340166088      13.854             0.002              0.0                rapid              zams               end                events         501285242210258  
61         168795506421626      34.826             0.002              0.0                rapid              zams               end                events         900969313211931  
62         324675794690762      34.594             0.002              0.0                rapid              zams               end                events         4965126495676    
63         334866729917407      10.273             0.002              0.0                rapid              zams               end                events         902035595743378  
64         889649215442691      11.411             0.002              0.0                rapid              zams               end                events         590379435857229  
65         221345496597381      34.255             0.002              0.0                rapid              zams               end                events         661946373834018  
66         285969400347022      16.120             0.002              0.0                rapid              zams               end                events         919117229126292  
67         871514392152376      22.325             0.002              0.0                rapid              zams               end                events         496756145254555  
68         661165863413549      10.370             0.002              0.0                rapid              zams               end                events         390665079442179  
69         286997336392310      13.234             0.002              0.0                rapid              zams               end                events         659959234746830  
70         984285040748678      29.193             0.002              0.0                rapid              zams               end                events         614359477816036  
