#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
2          NOTASSIGNED          6.502              0.002              0.0                compact            zams               1.439              0.002              0.0                compact            zams               798                0.0906             end                events         0                
13         NOTASSIGNED          7.498              0.002              0.0                compact            zams               1.354              0.002              0.0                compact            zams               1.1e+03            0.326              end                events         0                
16         NOTASSIGNED          9.764              0.002              0.0                compact            zams               1.307              0.002              0.0                compact            zams               41.3               0.427              end                events         0                
20         NOTASSIGNED          5.621              0.002              0.0                compact            zams               1.002              0.002              0.0                compact            zams               568                0.032              end                events         0                
23         NOTASSIGNED          6.197              0.002              0.0                compact            zams               0.828              0.002              0.0                compact            zams               73.8               0.401              end                events         0                
63         NOTASSIGNED          5.228              0.002              0.0                compact            zams               1.885              0.002              0.0                compact            zams               273                0.0754             end                events         0                
70         NOTASSIGNED          5.132              0.002              0.0                compact            zams               1.493              0.002              0.0                compact            zams               16.2               0.205              end                events         0                
77         NOTASSIGNED          5.090              0.002              0.0                compact            zams               1.472              0.002              0.0                compact            zams               9.69e+03           0.00385            end                events         0                
80         NOTASSIGNED          8.188              0.002              0.0                compact            zams               1.832              0.002              0.0                compact            zams               14.7               0.000809           end                events         0                
84         NOTASSIGNED          6.034              0.002              0.0                compact            zams               0.788              0.002              0.0                compact            zams               32.3               0.0142             end                events         0                
86         NOTASSIGNED          5.873              0.002              0.0                compact            zams               1.093              0.002              0.0                compact            zams               131                0.00819            end                events         0                
94         NOTASSIGNED          5.939              0.002              0.0                compact            zams               0.896              0.002              0.0                compact            zams               281                0.0227             end                events         0                
100        NOTASSIGNED          5.924              0.002              0.0                compact            zams               0.617              0.002              0.0                compact            zams               4.77e+03           0.0733             end                events         0                
110        NOTASSIGNED          5.104              0.002              0.0                compact            zams               0.715              0.002              0.0                compact            zams               973                0.374              end                events         0                
118        NOTASSIGNED          9.168              0.002              0.0                compact            zams               1.826              0.002              0.0                compact            zams               36.7               0.494              end                events         0                
122        NOTASSIGNED          6.653              0.002              0.0                compact            zams               0.686              0.002              0.0                compact            zams               79.7               0.114              end                events         0                
135        NOTASSIGNED          5.839              0.002              0.0                compact            zams               1.297              0.002              0.0                compact            zams               1.4e+03            0.0749             end                events         0                
140        NOTASSIGNED          7.014              0.002              0.0                compact            zams               0.959              0.002              0.0                compact            zams               46                 0.281              end                events         0                
143        NOTASSIGNED          6.809              0.002              0.0                compact            zams               1.566              0.002              0.0                compact            zams               134                0.45               end                events         0                
151        NOTASSIGNED          7.068              0.002              0.0                compact            zams               1.612              0.002              0.0                compact            zams               8.71e+03           0.0919             end                events         0                
