#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
494        952487840370751      5.697              0.002              0.0                compact            zams               2.093              0.002              0.0                compact            zams               19.6               0.0161             end                events         549977843146735  
495        204336279979764      5.762              0.002              0.0                compact            zams               2.085              0.002              0.0                compact            zams               77.2               0.6                end                events         621062381696297  
496        748638454923115      11.265             0.002              0.0                compact            zams               4.891              0.002              0.0                compact            zams               8.95e+03           0.654              end                events         834241689193893  
497        263692051318565      9.745              0.002              0.0                compact            zams               4.639              0.002              0.0                compact            zams               18.1               0.0307             end                events         550413421919408  
498        566303222834082      5.129              0.002              0.0                compact            zams               3.172              0.002              0.0                compact            zams               219                0.444              end                events         162117392766385  
499        618099095288689      5.988              0.002              0.0                compact            zams               5.934              0.002              0.0                compact            zams               38.5               0.249              end                events         516816984314467  
500        466353577359456      13.859             0.002              0.0                compact            zams               2.965              0.002              0.0                compact            zams               112                0.598              end                events         368083468029012  
502        746099622289534      6.879              0.002              0.0                compact            zams               2.643              0.002              0.0                compact            zams               344                0.323              end                events         451590883222221  
503        370046487816707      11.514             0.002              0.0                compact            zams               11.247             0.002              0.0                compact            zams               522                0.026              end                events         450703373534666  
504        888246671140058      22.604             0.002              0.0                compact            zams               21.299             0.002              0.0                compact            zams               24.4               0.02               end                events         919177849838046  
505        790424476700470      5.986              0.002              0.0                compact            zams               4.301              0.002              0.0                compact            zams               31                 0.497              end                events         35684543305427   
506        353338833293979      38.570             0.002              0.0                compact            zams               33.935             0.002              0.0                compact            zams               28.7               0.0194             end                events         825570803608662  
507        520468966785628      24.835             0.002              0.0                compact            zams               21.278             0.002              0.0                compact            zams               3.04e+03           0.00827            end                events         501072086376780  
508        736806309491483      66.086             0.002              0.0                compact            zams               33.184             0.002              0.0                compact            zams               4.57e+04           0.415              end                events         526457363472835  
509        947642681056444      16.323             0.002              0.0                compact            zams               16.213             0.002              0.0                compact            zams               147                0.203              end                events         819382867499705  
510        133747107591207      40.225             0.002              0.0                compact            zams               39.072             0.002              0.0                compact            zams               1.39e+04           0.0218             end                events         115447452320371  
511        696832408401329      6.492              0.002              0.0                compact            zams               6.054              0.002              0.0                compact            zams               111                0.713              end                events         607539837795369  
513        822980150836629      30.636             0.002              0.0                compact            zams               19.214             0.002              0.0                compact            zams               922                0.819              end                events         959124897757560  
514        543839956210994      7.354              0.002              0.0                compact            zams               5.592              0.002              0.0                compact            zams               154                0.699              end                events         812983499055739  
515        809643308107938      6.127              0.002              0.0                compact            zams               2.219              0.002              0.0                compact            zams               14.9               0.00964            end                events         789280034903198  
516        499621940198487      5.449              0.002              0.0                compact            zams               3.673              0.002              0.0                compact            zams               75.3               0.311              end                events         293882556432762  
517        494449348562181      20.367             0.002              0.0                compact            zams               12.935             0.002              0.0                compact            zams               761                0.88               end                events         449498356046631  
518        107752083820708      5.073              0.002              0.0                compact            zams               2.430              0.002              0.0                compact            zams               159                0.179              end                events         43979276371402   
519        931217252226716      16.591             0.002              0.0                compact            zams               15.909             0.002              0.0                compact            zams               902                0.0966             end                events         695129438521112  
520        206365530692998      9.521              0.002              0.0                compact            zams               3.136              0.002              0.0                compact            zams               24.1               0.0535             end                events         852457951186407  
521        250072902944447      5.659              0.002              0.0                compact            zams               3.657              0.002              0.0                compact            zams               8.28e+03           0.0562             end                events         763766487623797  
522        435626264885374      10.813             0.002              0.0                compact            zams               4.552              0.002              0.0                compact            zams               437                0.236              end                events         797215383450399  
523        121439756522365      6.996              0.002              0.0                compact            zams               5.845              0.002              0.0                compact            zams               16.8               0.00885            end                events         550920466324732  
