#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
852        351915437158597      12.587             0.002              0.0                compact            zams               9.728              0.002              0.0                compact            zams               26.2               0.000214           end                events         509234875838044  
877        391209936560241      12.645             0.002              0.0                compact            zams               5.636              0.002              0.0                compact            zams               30.5               0.182              end                events         898711327486192  
885        662221933583951      12.044             0.002              0.0                compact            zams               10.619             0.002              0.0                compact            zams               338                0.0698             end                events         640846064403611  
1918       670099239350854      12.628             0.002              0.0                compact            zams               10.809             0.002              0.0                compact            zams               4.23e+04           0.993              end                events         111806143178304  
2643       553187363618747      12.711             0.002              0.0                compact            zams               4.935              0.002              0.0                compact            zams               30.8               0.22               end                events         921862228112326  
2669       122742684614459      12.508             0.002              0.0                compact            zams               6.303              0.002              0.0                compact            zams               20.9               0.0688             end                events         328493945174324  
2801       568836785234658      12.122             0.002              0.0                compact            zams               6.674              0.002              0.0                compact            zams               24.5               0.14               end                events         507699342306118  
2963       698580543715908      12.845             0.002              0.0                compact            zams               10.587             0.002              0.0                compact            zams               27.6               0.167              end                events         116128900832087  
3545       866893937451689      12.456             0.002              0.0                compact            zams               4.225              0.002              0.0                compact            zams               19.4               0.00129            end                events         604178783602266  
4746       385167966728633      12.067             0.002              0.0                compact            zams               5.946              0.002              0.0                compact            zams               27.6               0.236              end                events         637404694578448  
5689       666239425680666      13.134             0.002              0.0                compact            zams               5.280              0.002              0.0                compact            zams               26.5               0.0191             end                events         462242010162559  
5696       460687141039825      12.292             0.002              0.0                compact            zams               9.803              0.002              0.0                compact            zams               25.5               0.00444            end                events         591686650937950  
6528       478108719465779      41.969             0.002              0.0                compact            zams               13.327             0.002              0.0                compact            zams               120                0.223              end                events         177140505352708  
7770       204847684726580      12.840             0.002              0.0                compact            zams               6.457              0.002              0.0                compact            zams               22.6               0.00626            end                events         416667439790995  
8527       695484661193759      12.220             0.002              0.0                compact            zams               7.199              0.002              0.0                compact            zams               37.5               0.265              end                events         558233356608761  
