#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
0          840095305930231      22.304             0.002              0.0                compact            zams               7.562              0.002              0.0                compact            zams               417                0.885              end                events         501870956213734  
1          558062865737616      5.221              0.002              0.0                compact            zams               2.197              0.002              0.0                compact            zams               30.2               0.337              end                events         781318083580260  
3          163135630515855      79.250             0.002              0.0                compact            zams               30.462             0.002              0.0                compact            zams               2.03e+04           0.131              end                events         472239476823510  
4          212682681023472      11.432             0.002              0.0                compact            zams               6.044              0.002              0.0                compact            zams               21.7               0.104              end                events         431585923283341  
5          163644333154949      13.071             0.002              0.0                compact            zams               10.040             0.002              0.0                compact            zams               24.2               0.129              end                events         687831063819654  
6          417552873055320      8.931              0.002              0.0                compact            zams               4.882              0.002              0.0                compact            zams               19.6               0.0185             end                events         229010131022693  
7          580175523160871      5.284              0.002              0.0                compact            zams               3.890              0.002              0.0                compact            zams               1.63e+04           0.307              end                events         964701749035868  
8          317791959812069      62.292             0.002              0.0                compact            zams               50.300             0.002              0.0                compact            zams               1.05e+04           0.00765            end                events         429739557927836  
9          156206061812152      5.669              0.002              0.0                compact            zams               3.684              0.002              0.0                compact            zams               7.72e+03           0.646              end                events         170606240404803  
10         293661215123480      23.476             0.002              0.0                compact            zams               6.416              0.002              0.0                compact            zams               194                0.803              end                events         460035240105660  
11         958889604564918      7.243              0.002              0.0                compact            zams               2.347              0.002              0.0                compact            zams               43.3               0.472              end                events         928657719416786  
12         897279296406572      17.565             0.002              0.0                compact            zams               2.329              0.002              0.0                compact            zams               27.5               0.00477            end                events         537090792317360  
14         893715454461022      8.162              0.002              0.0                compact            zams               3.409              0.002              0.0                compact            zams               4.36e+04           0.514              end                events         87135854465595   
15         208373523727363      14.576             0.002              0.0                compact            zams               9.325              0.002              0.0                compact            zams               36.6               0.0248             end                events         695820925920824  
17         842518297700836      9.470              0.002              0.0                compact            zams               3.167              0.002              0.0                compact            zams               7.02e+03           0.373              end                events         62223549474507   
18         517388969584869      8.534              0.002              0.0                compact            zams               8.510              0.002              0.0                compact            zams               9.27e+03           0.0467             end                events         850508940193490  
19         224008686642589      7.212              0.002              0.0                compact            zams               3.510              0.002              0.0                compact            zams               2.2e+03            0.438              end                events         937989895788096  
21         857127399024630      15.363             0.002              0.0                compact            zams               5.414              0.002              0.0                compact            zams               63.9               0.00106            end                events         183870197054958  
22         882791124806440      22.564             0.002              0.0                compact            zams               15.265             0.002              0.0                compact            zams               55.1               0.135              end                events         282888475696151  
24         893782039595491      6.008              0.002              0.0                compact            zams               3.145              0.002              0.0                compact            zams               3.03e+04           0.0199             end                events         533401905370970  
25         761892961514009      10.786             0.002              0.0                compact            zams               10.662             0.002              0.0                compact            zams               18.7               0.00172            end                events         128847333786357  
26         895432423883297      14.780             0.002              0.0                compact            zams               5.526              0.002              0.0                compact            zams               268                0.251              end                events         339526281224904  
27         196852484852690      5.571              0.002              0.0                compact            zams               2.303              0.002              0.0                compact            zams               1.05e+04           0.025              end                events         393159225302621  
28         887807187674769      17.660             0.002              0.0                compact            zams               14.840             0.002              0.0                compact            zams               267                0.468              end                events         415209828032179  
29         733100118492220      5.415              0.002              0.0                compact            zams               2.343              0.002              0.0                compact            zams               40.1               0.0191             end                events         348898189497089  
30         925909608379836      5.659              0.002              0.0                compact            zams               4.608              0.002              0.0                compact            zams               153                0.39               end                events         64702879756529   
31         264563490263374      12.828             0.002              0.0                compact            zams               4.540              0.002              0.0                compact            zams               69.1               0.25               end                events         723554462490283  
32         418733027386480      16.739             0.002              0.0                compact            zams               5.773              0.002              0.0                compact            zams               4.42e+03           0.0894             end                events         421108030246949  
33         402719344978041      30.495             0.002              0.0                compact            zams               8.690              0.002              0.0                compact            zams               5.03e+03           0.128              end                events         852548505285485  
34         794560371279614      5.932              0.002              0.0                compact            zams               2.700              0.002              0.0                compact            zams               167                0.0166             end                events         83650623402714   
35         993330875170918      10.076             0.002              0.0                compact            zams               8.713              0.002              0.0                compact            zams               450                0.271              end                events         349867877147067  
36         960188117644587      7.828              0.002              0.0                compact            zams               5.558              0.002              0.0                compact            zams               484                0.238              end                events         240563301093455  
37         527160115071254      18.112             0.002              0.0                compact            zams               9.694              0.002              0.0                compact            zams               457                0.198              end                events         968790342714831  
38         324982205679756      36.605             0.002              0.0                compact            zams               31.701             0.002              0.0                compact            zams               1.81e+04           0.121              end                events         4717446747212    
39         390712310343509      15.066             0.002              0.0                compact            zams               4.949              0.002              0.0                compact            zams               4.61e+04           0.0607             end                events         38123678935455   
40         741030825374773      12.231             0.002              0.0                compact            zams               6.760              0.002              0.0                compact            zams               5.52e+03           0.0153             end                events         845576543906614  
41         755977754780874      7.918              0.002              0.0                compact            zams               3.328              0.002              0.0                compact            zams               15.5               0.00692            end                events         725611103067713  
42         641659850409186      9.333              0.002              0.0                compact            zams               3.758              0.002              0.0                compact            zams               51.4               0.327              end                events         39446754399808   
43         671610825796775      6.208              0.002              0.0                compact            zams               4.577              0.002              0.0                compact            zams               91                 0.689              end                events         74785099719733   
44         769961174683320      13.472             0.002              0.0                compact            zams               9.947              0.002              0.0                compact            zams               156                0.0839             end                events         145738475305179  
45         648460311747359      5.713              0.002              0.0                compact            zams               2.546              0.002              0.0                compact            zams               139                0.251              end                events         253689553289796  
46         117965450774106      11.305             0.002              0.0                compact            zams               8.613              0.002              0.0                compact            zams               48.9               0.509              end                events         933958164504067  
47         134673508571165      24.688             0.002              0.0                compact            zams               11.824             0.002              0.0                compact            zams               1.09e+03           0.876              end                events         912894128638726  
48         935702577425662      9.261              0.002              0.0                compact            zams               6.805              0.002              0.0                compact            zams               24                 0.21               end                events         62850411217236   
49         351304324754362      6.055              0.002              0.0                compact            zams               2.483              0.002              0.0                compact            zams               14.6               0.033              end                events         120723620794005  
50         161396777556318      7.162              0.002              0.0                compact            zams               6.963              0.002              0.0                compact            zams               624                0.332              end                events         67269175596861   
51         960607269066103      8.035              0.002              0.0                compact            zams               3.583              0.002              0.0                compact            zams               760                0.642              end                events         235577257884074  
52         852918016138160      18.837             0.002              0.0                compact            zams               5.270              0.002              0.0                compact            zams               504                0.69               end                events         219853201282097  
53         906788737870525      65.632             0.002              0.0                compact            zams               14.682             0.002              0.0                compact            zams               4.83e+03           0.22               end                events         939571283179754  
54         559915287787616      23.328             0.002              0.0                compact            zams               4.238              0.002              0.0                compact            zams               230                0.399              end                events         488305560842502  
55         235255500014994      12.163             0.002              0.0                compact            zams               2.254              0.002              0.0                compact            zams               38.2               0.00538            end                events         93832363244069   
56         894261064816124      74.864             0.002              0.0                compact            zams               56.544             0.002              0.0                compact            zams               8.54e+03           0.0469             end                events         950057708417162  
