#ID        name                 Mass               Z                  spin               SN                 Tstart             Tend               Dtout              Seed             
1          589491695956479      84.345             0.002              0.0                compact            zams               end                events         658392266386529  
2          566403583112987      12.389             0.002              0.0                compact            zams               end                events         654927449516896  
3          436379751097896      11.587             0.002              0.0                compact            zams               end                events         953358875545524  
4          473938652739755      12.144             0.002              0.0                compact            zams               end                events         306862204410865  
5          101960437135002      12.954             0.002              0.0                compact            zams               end                events         981051616131347  
6          710215275898245      33.389             0.002              0.0                compact            zams               end                events         994144239304329  
7          100541759659429      35.045             0.002              0.0                compact            zams               end                events         116788945521738  
8          801484869400097      11.057             0.002              0.0                compact            zams               end                events         723785104481483  
9          580784968333840      13.740             0.002              0.0                compact            zams               end                events         915204681418855  
10         806076366892499      16.589             0.002              0.0                compact            zams               end                events         948410446593886  
11         825440594006003      17.307             0.002              0.0                compact            zams               end                events         170492281077470  
12         109062945590318      10.543             0.002              0.0                compact            zams               end                events         516018909290387  
13         198068680995314      45.376             0.002              0.0                compact            zams               end                events         470735922233792  
14         405081600510104      29.010             0.002              0.0                compact            zams               end                events         50230739148653   
15         203927930161440      107.128            0.002              0.0                compact            zams               end                events         572675023714768  
16         631553259200408      37.068             0.002              0.0                compact            zams               end                events         865035804661597  
17         741471274043730      10.638             0.002              0.0                compact            zams               end                events         127208736287000  
18         742876272162318      28.980             0.002              0.0                compact            zams               end                events         642277049374521  
19         923707315470329      48.740             0.002              0.0                compact            zams               end                events         959198634718330  
20         987297012089091      17.137             0.002              0.0                compact            zams               end                events         711357332257319  
21         700226910057179      32.918             0.002              0.0                compact            zams               end                events         416786237967818  
22         706689536304671      14.805             0.002              0.0                compact            zams               end                events         406963616644075  
23         100176347777800      22.594             0.002              0.0                compact            zams               end                events         806298077952603  
24         197543320505023      12.610             0.002              0.0                compact            zams               end                events         116983335438386  
25         401981465007942      15.256             0.002              0.0                compact            zams               end                events         6342732720051    
26         488514230406468      15.249             0.002              0.0                compact            zams               end                events         501448381995496  
27         374304871459135      31.446             0.002              0.0                compact            zams               end                events         548731346957003  
28         195932259029829      94.128             0.002              0.0                compact            zams               end                events         112275506250499  
29         793129438150186      12.345             0.002              0.0                compact            zams               end                events         870772398948830  
30         695104662996385      23.208             0.002              0.0                compact            zams               end                events         151289721614099  
31         980229029927989      17.480             0.002              0.0                compact            zams               end                events         614725966979068  
32         591642681135387      15.270             0.002              0.0                compact            zams               end                events         657161995884491  
33         440438099924297      20.246             0.002              0.0                compact            zams               end                events         995138035514742  
34         613570665435273      12.015             0.002              0.0                compact            zams               end                events         376969460907405  
35         436727840061297      11.699             0.002              0.0                compact            zams               end                events         243652096067783  
36         555980437069272      61.786             0.002              0.0                compact            zams               end                events         552070589522195  
37         544153731684800      15.850             0.002              0.0                compact            zams               end                events         134117612740558  
38         346011284628630      26.892             0.002              0.0                compact            zams               end                events         531748614526954  
39         734679241680538      11.150             0.002              0.0                compact            zams               end                events         297407731199468  
40         404865808187731      35.838             0.002              0.0                compact            zams               end                events         927938595764736  
41         751038912154167      70.645             0.002              0.0                compact            zams               end                events         917772885672112  
42         670398917931638      24.407             0.002              0.0                compact            zams               end                events         84774705349676   
43         130267733411020      16.524             0.002              0.0                compact            zams               end                events         80396465021370   
44         442046852912725      12.372             0.002              0.0                compact            zams               end                events         278339581214181  
45         644190232520323      10.438             0.002              0.0                compact            zams               end                events         113418296115531  
46         384185023878604      24.344             0.002              0.0                compact            zams               end                events         829424512760145  
47         521520335759337      80.865             0.002              0.0                compact            zams               end                events         147331503669926  
48         169473548655338      63.693             0.002              0.0                compact            zams               end                events         464438788102563  
49         617132073724406      43.190             0.002              0.0                compact            zams               end                events         414607131537554  
50         503028008953676      63.770             0.002              0.0                compact            zams               end                events         71824258778374   
51         607026846632351      14.001             0.002              0.0                compact            zams               end                events         363238393956238  
52         203621085913035      11.943             0.002              0.0                compact            zams               end                events         481680288274367  
53         817407296693363      12.376             0.002              0.0                compact            zams               end                events         140198192787831  
54         936293905885048      17.233             0.002              0.0                compact            zams               end                events         9746482031040    
55         250293078246959      10.943             0.002              0.0                compact            zams               end                events         188023253961445  
56         154745265234567      19.095             0.002              0.0                compact            zams               end                events         365196870868655  
57         440137019863755      94.736             0.002              0.0                compact            zams               end                events         857498842542325  
58         694391563295267      10.226             0.002              0.0                compact            zams               end                events         192938033173681  
