#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
0          774296905258493      22.304             0.002              0.0                rapid              zams               7.562              0.002              0.0                rapid              zams               417                0.885              end                events         624333627684368  
1          841591258127389      5.221              0.002              0.0                rapid              zams               2.197              0.002              0.0                rapid              zams               30.2               0.337              end                events         261740286766628  
3          143616151887501      79.250             0.002              0.0                rapid              zams               30.462             0.002              0.0                rapid              zams               2.03e+04           0.131              end                events         677868642247253  
4          894559679691768      11.432             0.002              0.0                rapid              zams               6.044              0.002              0.0                rapid              zams               21.7               0.104              end                events         354961458267266  
5          284662120527449      13.071             0.002              0.0                rapid              zams               10.040             0.002              0.0                rapid              zams               24.2               0.129              end                events         995669783032674  
6          394745283461985      8.931              0.002              0.0                rapid              zams               4.882              0.002              0.0                rapid              zams               19.6               0.0185             end                events         593621430889201  
7          703423822512937      5.284              0.002              0.0                rapid              zams               3.890              0.002              0.0                rapid              zams               1.63e+04           0.307              end                events         637446956271218  
8          821771501047735      62.292             0.002              0.0                rapid              zams               50.300             0.002              0.0                rapid              zams               1.05e+04           0.00765            end                events         764686778938818  
9          907607537044926      5.669              0.002              0.0                rapid              zams               3.684              0.002              0.0                rapid              zams               7.72e+03           0.646              end                events         957464473972067  
10         880253354977508      23.476             0.002              0.0                rapid              zams               6.416              0.002              0.0                rapid              zams               194                0.803              end                events         865876993677771  
11         678817646365651      7.243              0.002              0.0                rapid              zams               2.347              0.002              0.0                rapid              zams               43.3               0.472              end                events         180540974626620  
12         622804841054029      17.565             0.002              0.0                rapid              zams               2.329              0.002              0.0                rapid              zams               27.5               0.00477            end                events         248569022741489  
14         830981415633881      8.162              0.002              0.0                rapid              zams               3.409              0.002              0.0                rapid              zams               4.36e+04           0.514              end                events         565559969025846  
15         932248590343184      14.576             0.002              0.0                rapid              zams               9.325              0.002              0.0                rapid              zams               36.6               0.0248             end                events         311603161522281  
17         627640709519073      9.470              0.002              0.0                rapid              zams               3.167              0.002              0.0                rapid              zams               7.02e+03           0.373              end                events         566153455633010  
18         540225642390372      8.534              0.002              0.0                rapid              zams               8.510              0.002              0.0                rapid              zams               9.27e+03           0.0467             end                events         297193035853241  
19         615728314619528      7.212              0.002              0.0                rapid              zams               3.510              0.002              0.0                rapid              zams               2.2e+03            0.438              end                events         90860896605649   
21         933039534638905      15.363             0.002              0.0                rapid              zams               5.414              0.002              0.0                rapid              zams               63.9               0.00106            end                events         560327470217062  
22         380045752954068      22.564             0.002              0.0                rapid              zams               15.265             0.002              0.0                rapid              zams               55.1               0.135              end                events         87046856439958   
24         734410280620146      6.008              0.002              0.0                rapid              zams               3.145              0.002              0.0                rapid              zams               3.03e+04           0.0199             end                events         924923743085606  
25         879160112463514      10.786             0.002              0.0                rapid              zams               10.662             0.002              0.0                rapid              zams               18.7               0.00172            end                events         777133237494695  
26         876640901926343      14.780             0.002              0.0                rapid              zams               5.526              0.002              0.0                rapid              zams               268                0.251              end                events         469534266818623  
27         706328326264527      5.571              0.002              0.0                rapid              zams               2.303              0.002              0.0                rapid              zams               1.05e+04           0.025              end                events         27638608995937   
28         253146112238280      17.660             0.002              0.0                rapid              zams               14.840             0.002              0.0                rapid              zams               267                0.468              end                events         840641141675284  
29         625713164485755      5.415              0.002              0.0                rapid              zams               2.343              0.002              0.0                rapid              zams               40.1               0.0191             end                events         84601429658302   
30         646707297807448      5.659              0.002              0.0                rapid              zams               4.608              0.002              0.0                rapid              zams               153                0.39               end                events         747645501791412  
31         686171369293825      12.828             0.002              0.0                rapid              zams               4.540              0.002              0.0                rapid              zams               69.1               0.25               end                events         528862735100850  
32         899824905642923      16.739             0.002              0.0                rapid              zams               5.773              0.002              0.0                rapid              zams               4.42e+03           0.0894             end                events         116637496868395  
33         399995519224413      30.495             0.002              0.0                rapid              zams               8.690              0.002              0.0                rapid              zams               5.03e+03           0.128              end                events         901637023770433  
34         726946719407919      5.932              0.002              0.0                rapid              zams               2.700              0.002              0.0                rapid              zams               167                0.0166             end                events         850506464713104  
35         226048791056622      10.076             0.002              0.0                rapid              zams               8.713              0.002              0.0                rapid              zams               450                0.271              end                events         394814890784518  
36         192507248773066      7.828              0.002              0.0                rapid              zams               5.558              0.002              0.0                rapid              zams               484                0.238              end                events         838059188544556  
37         482331187891364      18.112             0.002              0.0                rapid              zams               9.694              0.002              0.0                rapid              zams               457                0.198              end                events         435704725313855  
38         185198324823137      36.605             0.002              0.0                rapid              zams               31.701             0.002              0.0                rapid              zams               1.81e+04           0.121              end                events         169984087746677  
39         840210385844712      15.066             0.002              0.0                rapid              zams               4.949              0.002              0.0                rapid              zams               4.61e+04           0.0607             end                events         382977529923709  
40         534870890339115      12.231             0.002              0.0                rapid              zams               6.760              0.002              0.0                rapid              zams               5.52e+03           0.0153             end                events         104907107996903  
41         552698770960869      7.918              0.002              0.0                rapid              zams               3.328              0.002              0.0                rapid              zams               15.5               0.00692            end                events         919448735658974  
42         851020911354177      9.333              0.002              0.0                rapid              zams               3.758              0.002              0.0                rapid              zams               51.4               0.327              end                events         434453178875717  
43         602654851705586      6.208              0.002              0.0                rapid              zams               4.577              0.002              0.0                rapid              zams               91                 0.689              end                events         114995477472163  
44         466313181886614      13.472             0.002              0.0                rapid              zams               9.947              0.002              0.0                rapid              zams               156                0.0839             end                events         642726166126632  
